 A.7 Taxa bruta de natalidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de nascidos vivos por 1.000 habitantes, por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;1991-Fonte;1992;1992-Fonte;1993;1993-Fonte;1994;1994-Fonte;1995;1995-Fonte;1996;1996-Fonte;1997;1997-Fonte;1998;1998-Fonte;1999-Bruta;1999-Padron;1999-Fonte;2000-Bruta;2000-Padron;2000-Fonte;2001-Bruta;2001-Padron;2001-Fonte;2002-Bruta;2002-Padron;2002-Fonte;2003-Bruta;2003-Padron;2003-Fonte;2004-Bruta;2004-Padron;2004-Fonte;2005-Bruta;2005-Padron;2005-Fonte;2006-Bruta;2006-Padron;2006-Fonte;2007-Bruta;2007-Padron;2007-Fonte;2008-Bruta;2008-Padron;2008-Fonte;2009-Bruta;2009-Padron;2009-Fonte;2010-Bruta;2010-Padron;2010-Fonte
 Piauí ; 26,29 ; * ; 25,83 ; * ; 25,51 ; * ; 25,18 ; * ; 24,96 ; * ; 24,74 ; * ; 25,10 ; * ; 25,00 ; * ; 24,90 ; 21,50 ; * ; 24,91 ; 24,78 ; * ; 24,35 ; 24,28 ; * ; 23,81 ; 23,85 ; * ; 23,22 ; 23,30 ; * ; 22,65 ; 22,76 ; * ; 22,02 ; 22,14 ; * ; 21,39 ; 21,60 ; * ; 20,92 ; 20,05 ; * ; 18,24 ; 17,22 ; **** ; 17,73 ; 16,84 ; **** ; 17,17 ; 16,79 ; **** 
 Ceará ; 28,18 ; * ; 27,84 ; * ; 27,54 ; * ; 27,28 ; * ; 27,05 ; * ; 27,11 ; * ; 27,52 ; * ; 27,64 ; * ; 27,75 ; 25,83 ; * ; 24,46 ; 25,29 ; * ; 23,52 ; 24,32 ; * ; 22,68 ; 23,53 ; * ; 21,81 ; 22,62 ; * ; 20,98 ; 21,75 ; * ; 20,18 ; 20,91 ; * ; 19,44 ; 20,18 ; * ; 18,87 ; 18,63 ; * ; 17,42 ; 16,76 ; **** ; 16,81 ; 16,20 ; **** ; 16,41 ; 16,06 ; **** 
 Rio Grande do Norte ; 25,79 ; * ; 25,35 ; * ; 24,96 ; * ; 24,53 ; * ; 24,22 ; * ; 23,94 ; * ; 22,01 ; ** ; 21,87 ; ** ; 21,83 ; 19,78 ; ** ; 22,88 ; 22,90 ; * ; 22,01 ; 22,04 ; * ; 21,27 ; 21,33 ; * ; 20,58 ; 20,64 ; * ; 20,02 ; 20,09 ; * ; 19,47 ; 19,54 ; * ; 18,91 ; 19,02 ; * ; 18,60 ; 18,18 ; * ; 17,37 ; 16,93 ; **** ; 16,91 ; 16,27 ; **** ; 16,22 ; 15,77 ; **** 
 Paraíba ; 26,24 ; * ; 25,92 ; * ; 25,66 ; * ; 25,48 ; * ; 25,30 ; * ; 24,92 ; * ; 25,36 ; * ; 25,12 ; * ; 24,88 ; 22,10 ; * ; 22,67 ; 22,87 ; * ; 21,71 ; 22,11 ; * ; 20,91 ; 21,43 ; * ; 20,14 ; 20,67 ; * ; 19,47 ; 19,98 ; * ; 18,92 ; 19,41 ; * ; 18,36 ; 18,88 ; * ; 17,99 ; 17,71 ; * ; 17,76 ; 17,35 ; **** ; 17,30 ; 16,75 ; **** ; 16,67 ; 16,76 ; **** 
 Pernambuco ; 23,39 ; * ; 23,10 ; * ; 22,87 ; * ; 22,69 ; * ; 22,54 ; * ; 22,33 ; * ; 20,48 ; ** ; 21,43 ; ** ; 21,71 ; 19,88 ; ** ; 20,64 ; 20,48 ; * ; 20,49 ; 20,35 ; ** ; 19,30 ; 19,19 ; ** ; 18,58 ; 18,48 ; ** ; 18,16 ; 18,06 ; ** ; 18,08 ; 17,97 ; ** ; 17,18 ; 17,11 ; ** ; 16,66 ; 16,39 ; ** ; 17,78 ; 17,38 ; **** ; 17,27 ; 16,82 ; **** ; 16,76 ; 16,59 ; **** 
 Alagoas ; 30,52 ; * ; 30,43 ; * ; 30,31 ; * ; 30,24 ; * ; 30,10 ; * ; 29,72 ; * ; 30,38 ; * ; 30,21 ; * ; 29,97 ; 27,29 ; * ; 28,61 ; 28,59 ; * ; 28,03 ; 28,05 ; * ; 27,43 ; 27,44 ; * ; 26,79 ; 26,79 ; * ; 26,19 ; 26,22 ; * ; 25,52 ; 25,50 ; * ; 24,76 ; 24,79 ; * ; 24,24 ; 24,11 ; * ; 20,10 ; 19,72 ; **** ; 19,58 ; 19,31 ; **** ; 18,93 ; 18,60 ; **** 
 Sergipe ; 28,24 ; * ; 27,44 ; * ; 26,81 ; * ; 26,23 ; * ; 25,81 ; * ; 25,83 ; * ; 25,60 ; ** ; 24,65 ; ** ; 24,01 ; 24,71 ; ** ; 25,16 ; 24,25 ; * ; 24,69 ; 23,59 ; * ; 24,11 ; 23,58 ; * ; 23,63 ; 23,13 ; * ; 23,08 ; 22,61 ; * ; 22,48 ; 22,03 ; * ; 21,89 ; 21,50 ; * ; 21,37 ; 20,79 ; * ; 19,07 ; 18,78 ; **** ; 18,61 ; 17,92 ; **** ; 17,57 ; 16,87 ; **** 
 Bahia ; 26,09 ; * ; 25,26 ; * ; 24,50 ; * ; 23,80 ; * ; 23,31 ; * ; 23,01 ; * ; 22,73 ; * ; 22,47 ; * ; 22,29 ; 20,68 ; * ; 22,99 ; 22,00 ; * ; 22,60 ; 21,64 ; * ; 22,11 ; 21,36 ; * ; 21,71 ; 21,04 ; * ; 21,23 ; 20,63 ; * ; 20,67 ; 20,11 ; * ; 20,11 ; 19,72 ; * ; 19,72 ; 19,01 ; * ; 17,24 ; 15,98 ; **** ; 16,41 ; 15,73 ; **** ; 16,52 ; 16,05 ; **** 
 Região Sudeste ; 20,23 ; * ; 19,92 ; * ; 19,67 ; * ; 19,41 ; * ; 19,20 ; * ; 19,05 ; * ; 20,11 ; *** ; 19,57 ; *** ; 19,82 ; 19,79 ; *** ; 18,71 ; 18,61 ; *** ; 17,39 ; 17,30 ; *** ; 16,82 ; 16,73 ; *** ; 16,36 ; 16,26 ; *** ; 16,16 ; 16,04 ; *** ; 15,56 ; 15,43 ; *** ; 15,01 ; 14,89 ; *** ; 14,61 ; 14,92 ; *** ; 14,55 ; 14,73 ; *** ; 14,30 ; 14,50 ; *** ; 14,20 ; 14,43 ; *** 
 Minas Gerais ; 21,55 ; * ; 21,16 ; * ; 20,76 ; * ; 20,43 ; * ; 20,09 ; * ; 19,93 ; * ; 19,96 ; * ; 19,86 ; * ; 19,74 ; 19,06 ; * ; 19,37 ; 19,38 ; * ; 18,88 ; 18,92 ; * ; 18,42 ; 18,48 ; * ; 17,95 ; 18,01 ; * ; 17,47 ; 17,53 ; * ; 16,96 ; 16,99 ; * ; 16,52 ; 16,57 ; * ; 16,00 ; 16,20 ; * ; 14,37 ; 14,18 ; **** ; 13,66 ; 13,69 ; **** ; 13,53 ; 13,79 ; **** 
